year,country,country_url,region_code,region,rank_per_region,overall_rank,happiness_score,happiness_status,gdp_per_capita,family,social_support,healthy_life_expectancy,freedom_life_choices,generosity,corruption
2016,Uruguay,https://upload.wikimedia.org/wikipedia/commons/f/fe/Flag_of_Uruguay.svg,19.0,AMERICAS,10.0,29,6.545,Green,1.18157,1.0314299999999998,,0.72183,0.54388,0.21394000000000002,0.18056
2016,Malta,https://upload.wikimedia.org/wikipedia/commons/7/73/Flag_of_Malta.svg,150.0,EUROPE,15.0,30,6.4879999999999995,Green,1.30782,1.09879,,0.80315,0.54994,0.17554,0.56237
2016,Colombia,https://upload.wikimedia.org/wikipedia/commons/2/21/Flag_of_Colombia.svg,19.0,AMERICAS,11.0,31,6.481,Green,1.0303200000000001,1.02169,,0.59659,0.44735,0.053989999999999996,0.15625999999999998
2016,France,https://upload.wikimedia.org/wikipedia/en/c/c3/Flag_of_France.svg,150.0,EUROPE,16.0,32,6.478,Green,1.39488,1.00508,,0.83795,0.46562,0.17808,0.1216
2016,Thailand,https://upload.wikimedia.org/wikipedia/commons/a/a9/Flag_of_Thailand.svg,142.0,ASIA,4.0,33,6.474,Green,1.0893,1.04477,,0.64915,0.49553,0.02833,0.58696
2016,Saudi Arabia,https://upload.wikimedia.org/wikipedia/commons/0/0d/Flag_of_Saudi_Arabia.svg,142.0,ASIA,5.0,34,6.379,Green,1.48953,0.84829,,0.59267,0.37904,0.30008,0.15457
2016,Taiwan,,142.0,ASIA,5.0,34,6.379,Green,1.39729,0.92624,,0.79565,0.32377,0.0663,0.25495
2016,Qatar,https://upload.wikimedia.org/wikipedia/commons/6/65/Flag_of_Qatar.svg,142.0,ASIA,7.0,36,6.375,Green,1.82427,0.87964,,0.71723,0.56679,0.48049,0.32388
2016,Spain,https://upload.wikimedia.org/wikipedia/en/9/9a/Flag_of_Spain.svg,150.0,EUROPE,17.0,37,6.361000000000001,Green,1.34253,1.12945,,0.8789600000000001,0.37545,0.06137000000000001,0.17665
2016,Algeria,https://upload.wikimedia.org/wikipedia/commons/7/77/Flag_of_Algeria.svg,2.0,AFRICA,1.0,38,6.355,Green,1.05266,0.83309,,0.6180399999999999,0.21006,0.16157,0.07044
2016,Guatemala,https://upload.wikimedia.org/wikipedia/commons/e/ec/Flag_of_Guatemala.svg,19.0,AMERICAS,12.0,39,6.324,Green,0.83454,0.8711899999999999,,0.5403899999999999,0.50379,0.08701,0.28808
2016,Suriname,https://upload.wikimedia.org/wikipedia/commons/6/60/Flag_of_Suriname.svg,19.0,AMERICAS,13.0,40,6.269,Green,1.09686,0.77866,,0.5093300000000001,0.5223399999999999,0.12692,0.16665
2016,Kuwait,https://upload.wikimedia.org/wikipedia/commons/a/aa/Flag_of_Kuwait.svg,142.0,ASIA,8.0,41,6.239,Green,1.61714,0.8775799999999999,,0.63569,0.43166000000000004,0.23669,0.15965
2016,Bahrain,https://upload.wikimedia.org/wikipedia/commons/2/2c/Flag_of_Bahrain.svg,142.0,ASIA,9.0,42,6.218,Green,1.44024,0.9439700000000001,,0.65696,0.47375,0.25772,0.17147
2016,Trinidad and Tobago,https://upload.wikimedia.org/wikipedia/commons/6/64/Flag_of_Trinidad_and_Tobago.svg,19.0,AMERICAS,14.0,43,6.167999999999999,Green,1.32572,0.98569,,0.52608,0.48453,0.01241,0.31935
2016,Venezuela,https://upload.wikimedia.org/wikipedia/commons/0/06/Flag_of_Venezuela.svg,19.0,AMERICAS,15.0,44,6.084,Green,1.1336700000000002,1.03302,,0.6190399999999999,0.19847,0.08304,0.0425
2016,Slovakia,https://upload.wikimedia.org/wikipedia/commons/e/e6/Flag_of_Slovakia.svg,150.0,EUROPE,18.0,45,6.077999999999999,Green,1.27973,1.0826799999999999,,0.70367,0.23390999999999998,0.02947,0.13837
2016,El Salvador,https://upload.wikimedia.org/wikipedia/commons/3/34/Flag_of_El_Salvador.svg,19.0,AMERICAS,16.0,46,6.068,Green,0.8737,0.80975,,0.596,0.37269,0.10613,0.08877
2016,Malaysia,https://upload.wikimedia.org/wikipedia/commons/6/66/Flag_of_Malaysia.svg,142.0,ASIA,10.0,47,6.005,Green,1.25142,0.88025,,0.62366,0.39031,0.09081,0.41473999999999994
2016,Nicaragua,https://upload.wikimedia.org/wikipedia/commons/1/19/Flag_of_Nicaragua.svg,19.0,AMERICAS,17.0,48,5.992000000000001,Green,0.69384,0.8952100000000001,,0.65213,0.46581999999999996,0.16292,0.29773
2016,Uzbekistan,https://upload.wikimedia.org/wikipedia/commons/8/84/Flag_of_Uzbekistan.svg,142.0,ASIA,11.0,49,5.987,Green,0.7359100000000001,1.1681,,0.50163,0.60848,0.28333,0.34326
2016,Italy,https://upload.wikimedia.org/wikipedia/en/0/03/Flag_of_Italy.svg,150.0,EUROPE,19.0,50,5.977,Green,1.35495,1.04167,,0.8510200000000001,0.18827,0.02556,0.16684000000000002
2016,Ecuador,https://upload.wikimedia.org/wikipedia/commons/e/e8/Flag_of_Ecuador.svg,19.0,AMERICAS,18.0,51,5.976,Green,0.97306,0.85974,,0.68613,0.4027,0.18037,0.10074
2016,Belize,https://upload.wikimedia.org/wikipedia/commons/e/e7/Flag_of_Belize.svg,19.0,AMERICAS,19.0,52,5.956,Green,0.87616,0.68655,,0.45569,0.51231,0.10770999999999999,0.23684000000000002
2016,Japan,https://upload.wikimedia.org/wikipedia/en/9/9e/Flag_of_Japan.svg,142.0,ASIA,12.0,53,5.921,Green,1.3800700000000001,1.06054,,0.91491,0.46761,0.18985,0.10224
2016,Kazakhstan,https://upload.wikimedia.org/wikipedia/commons/d/d3/Flag_of_Kazakhstan.svg,142.0,ASIA,13.0,54,5.919,Green,1.22943,0.95544,,0.57386,0.4052,0.11132,0.15011
2016,Moldova,https://upload.wikimedia.org/wikipedia/commons/2/27/Flag_of_Moldova.svg,150.0,EUROPE,20.0,55,5.897,Green,0.69177,0.8313200000000001,,0.5230899999999999,0.25201999999999997,0.019030000000000002,0.19997
2016,Russia,https://upload.wikimedia.org/wikipedia/en/f/f3/Flag_of_Russia.svg,150.0,EUROPE,21.0,56,5.856,Green,1.2322799999999998,1.05261,,0.58991,0.32682,0.03586,0.027360000000000002
