year,country,happiness_score,happiness_status
2017,Singapore,6.5720000270000005,Green
2017,Malta,6.52699995,Green
2017,Uruguay,6.453999996,Green
2017,Guatemala,6.453999996,Green
2017,Panama,6.452000141,Green
2017,France,6.441999912000001,Green
2017,Thailand,6.423999786,Green
2017,Taiwan Province of China,6.421999931,Green
2017,Spain,6.402999877999999,Green
2017,Qatar,6.375,Green
2017,Colombia,6.3569998739999996,Green
2017,Saudi Arabia,6.343999863,Green
2017,Trinidad and Tobago,6.168000221000001,Green
2017,Kuwait,6.105000018999999,Green
2017,Slovakia,6.09800005,Green
2017,Bahrain,6.086999893,Green
2017,Malaysia,6.084000111,Green
2017,Nicaragua,6.071000099,Green
2017,Ecuador,6.007999897,Green
2017,El Salvador,6.002999783,Green
2017,Poland,5.97300005,Green
2017,Uzbekistan,5.971000195,Green
2017,Italy,5.964000225,Green
2017,Russia,5.962999821,Green
2017,Belize,5.9559998510000005,Green
2017,Japan,5.920000076,Green
2017,Lithuania,5.90199995,Green
2017,Algeria,5.872000217,Green
2017,Latvia,5.849999905,Green
2017,South Korea,5.837999821,Green
2017,Moldova,5.837999821,Green
2017,Romania,5.8249998089999995,Green
2017,Bolivia,5.822999954,Green
2017,Turkmenistan,5.8220000270000005,Green
2017,Kazakhstan,5.818999767,Green
2017,North Cyprus,5.809999942999999,Green
2017,Slovenia,5.757999897,Green
2017,Peru,5.715000152999999,Green
2017,Mauritius,5.629000187000001,Green
2017,Cyprus,5.620999812999999,Green
2017,Estonia,5.611000061,Green
2017,Belarus,5.568999767,Amber
2017,Libya,5.525000095,Amber
2017,Turkey,5.5,Amber
2017,Paraguay,5.493000031,Amber
2017,"Hong Kong S.A.R., China",5.472000122000001,Amber
2017,Philippines,5.429999828,Amber
2017,Serbia,5.394999981000001,Amber
2017,Jordan,5.335999966,Amber
2017,Hungary,5.323999882,Amber
2017,Jamaica,5.31099987,Amber
2017,Croatia,5.293000221000001,Amber
2017,Kosovo,5.278999805,Amber
2017,China,5.2729997630000005,Amber
2017,Pakistan,5.269000053,Amber
2017,Indonesia,5.262000083999999,Amber
2017,Venezuela,5.25,Amber
2017,Montenegro,5.236999989,Amber
2017,Morocco,5.235000134,Amber
2017,Azerbaijan,5.234000206,Amber
2017,Dominican Republic,5.230000018999999,Amber
2017,Greece,5.2270002369999995,Amber
2017,Lebanon,5.224999905,Amber
2017,Portugal,5.195000172,Amber
